2026-05-13 13:33:55,532 | mongo_ingest | INFO | === Starting MongoDB ingestion ===
2026-05-13 13:33:55,533 | mongo_ingest | INFO | Reading from HDFS: /user/root/raw/GlobalLandTemperaturesByCity.csv
2026-05-13 13:33:55,576 | mongo_ingest | ERROR | Failed to read from HDFS: HTTPConnectionPool(host='namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x10a2412b0>: Failed to resolve 'namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 13:33:55,576 | mongo_ingest | ERROR | Ingestion failed: HTTPConnectionPool(host='namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x10a2412b0>: Failed to resolve 'namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 13:33:55,576 | mongo_ingest | INFO | === MongoDB ingestion terminated with errors ===
2026-05-13 13:34:38,721 | mongo_ingest | INFO | === Starting MongoDB ingestion ===
2026-05-13 13:34:38,721 | mongo_ingest | INFO | Reading from HDFS: /user/root/raw/GlobalLandTemperaturesByCity.csv
2026-05-13 13:34:38,727 | mongo_ingest | ERROR | Failed to read from HDFS: HTTPConnectionPool(host='namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x1054e92b0>: Failed to resolve 'namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 13:34:38,727 | mongo_ingest | ERROR | Ingestion failed: HTTPConnectionPool(host='namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x1054e92b0>: Failed to resolve 'namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 13:34:38,727 | mongo_ingest | INFO | === MongoDB ingestion terminated with errors ===
2026-05-13 17:59:38,047 | mongo_ingest | INFO | === Starting MongoDB ingestion ===
2026-05-13 17:59:38,047 | mongo_ingest | INFO | Reading from HDFS: /user/root/raw/GlobalLandTemperaturesByCity.csv
2026-05-13 17:59:38,078 | mongo_ingest | ERROR | Failed to read from HDFS: HTTPConnectionPool(host='hadoop-namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x1095812b0>: Failed to resolve 'hadoop-namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 17:59:38,079 | mongo_ingest | ERROR | Ingestion failed: HTTPConnectionPool(host='hadoop-namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x1095812b0>: Failed to resolve 'hadoop-namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 17:59:38,079 | mongo_ingest | INFO | === MongoDB ingestion terminated with errors ===
2026-05-13 18:06:46,672 | mongo_ingest | INFO | === Starting MongoDB ingestion ===
2026-05-13 18:06:46,672 | mongo_ingest | INFO | Reading from HDFS: /user/root/raw/GlobalLandTemperaturesByCity.csv
2026-05-13 18:06:46,678 | mongo_ingest | ERROR | Failed to read from HDFS: HTTPConnectionPool(host='hadoop-namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x1073d12b0>: Failed to resolve 'hadoop-namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 18:06:46,678 | mongo_ingest | ERROR | Ingestion failed: HTTPConnectionPool(host='hadoop-namenode', port=9870): Max retries exceeded with url: /webhdfs/v1/user/root/raw/GlobalLandTemperaturesByCity.csv?user.name=root&offset=0&op=OPEN (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x1073d12b0>: Failed to resolve 'hadoop-namenode' ([Errno 8] nodename nor servname provided, or not known)"))
2026-05-13 18:06:46,678 | mongo_ingest | INFO | === MongoDB ingestion terminated with errors ===
